mpg,cylinders,displacement,horsepower,weight,acceleration,Age
30.0,4,111.0,80.0,2155,14.8,42
14.0,8,318.0,150.0,4077,14.0,47
30.0,4,146.0,67.0,3250,21.8,39
13.0,8,400.0,175.0,5140,12.0,48
17.5,8,318.0,140.0,4080,13.7,41
30.9,4,105.0,75.0,2230,14.5,41
13.0,8,302.0,130.0,3870,15.0,43
20.5,6,231.0,105.0,3425,16.9,42
17.0,6,250.0,100.0,3329,15.5,48
16.0,8,400.0,180.0,4220,11.1,42
28.8,6,173.0,115.0,2595,11.3,40
27.0,4,151.0,90.0,2735,18.0,37
25.0,4,97.5,80.0,2126,17.0,47
18.0,3,70.0,90.0,2124,13.5,46
18.0,8,307.0,130.0,3504,12.0,49
16.0,8,400.0,230.0,4278,9.5,46
14.0,8,454.0,220.0,4354,9.0,49
21.1,4,134.0,95.0,2515,14.8,41
16.0,8,400.0,170.0,4668,11.5,44
18.0,6,225.0,95.0,3785,19.0,44
22.3,4,140.0,88.0,2890,17.3,40
36.0,4,79.0,58.0,1825,18.6,42
12.0,8,429.0,198.0,4952,11.5,46
31.0,4,91.0,68.0,1970,17.6,37
13.0,8,351.0,158.0,4363,13.0,46
31.3,4,120.0,75.0,2542,17.5,39
22.0,4,122.0,86.0,2395,16.0,47
28.0,4,120.0,79.0,2625,18.6,37
25.8,4,156.0,92.0,2620,14.4,38
15.0,8,318.0,150.0,4135,13.5,47
16.0,6,250.0,105.0,3897,18.5,44
18.0,6,250.0,88.0,3139,14.5,48
13.0,8,360.0,170.0,4654,13.0,46
37.7,4,89.0,62.0,2050,17.3,38
32.3,4,97.0,67.0,2065,17.8,38
29.0,4,90.0,70.0,1937,14.2,43
26.0,4,108.0,93.0,2391,15.5,45
13.0,8,350.0,155.0,4502,13.5,47
26.0,4,79.0,67.0,1963,15.5,45
23.8,4,151.0,85.0,2855,17.6,41
18.0,6,199.0,97.0,2774,15.5,49
21.5,6,231.0,115.0,3245,15.4,40
14.0,8,400.0,175.0,4385,12.0,47
43.1,4,90.0,48.0,1985,21.5,41
14.0,8,318.0,150.0,4096,13.0,48
12.0,8,400.0,167.0,4906,12.5,46
12.0,8,383.0,180.0,4955,11.5,48
19.2,6,231.0,105.0,3535,19.2,41
25.0,4,140.0,92.0,2572,14.9,43
12.0,8,455.0,225.0,4951,11.0,46
25.0,4,90.0,71.0,2223,16.5,44
19.0,4,120.0,88.0,3270,21.9,43
11.0,8,400.0,150.0,4997,14.0,46
20.6,6,231.0,105.0,3380,15.8,41
32.8,4,78.0,52.0,1985,19.4,41
13.0,8,318.0,150.0,3940,13.2,43
25.5,4,122.0,96.0,2300,15.5,42
21.0,4,120.0,87.0,2979,19.5,47
14.0,8,340.0,160.0,3609,8.0,49
34.2,4,105.0,70.0,2200,13.2,40
27.0,4,151.0,90.0,2950,17.3,37
18.6,6,225.0,110.0,3620,18.7,41
22.0,6,232.0,112.0,2835,14.7,37
31.8,4,85.0,65.0,2020,19.2,40
14.0,8,304.0,150.0,4257,15.5,45
12.0,8,350.0,160.0,4456,13.5,47
13.0,8,318.0,150.0,3755,14.0,43
33.0,4,105.0,74.0,2190,14.2,38
19.0,6,232.0,100.0,2901,16.0,45
35.0,4,122.0,88.0,2500,15.1,39
20.3,5,131.0,103.0,2830,15.9,41
33.0,4,91.0,53.0,1795,17.5,44
22.0,4,140.0,72.0,2408,19.0,48
13.0,8,350.0,145.0,3988,13.0,46
27.2,4,119.0,97.0,2300,14.7,41
25.0,4,140.0,75.0,2542,17.0,45
18.0,6,250.0,105.0,3459,16.0,44
31.5,4,89.0,71.0,1990,14.9,41
38.0,6,262.0,85.0,3015,17.0,37
19.2,8,267.0,125.0,3605,15.0,40
22.0,6,146.0,97.0,2815,14.5,42
34.1,4,86.0,65.0,1975,15.2,40
32.2,4,108.0,75.0,2265,15.2,39
15.0,8,318.0,150.0,3399,11.0,46
28.0,4,140.0,90.0,2264,15.5,48
16.0,8,302.0,140.0,4141,14.0,45
15.0,8,304.0,150.0,3892,12.5,47
15.0,6,250.0,72.0,3158,19.5,44
32.0,4,144.0,96.0,2665,13.9,37
15.0,8,383.0,170.0,3563,10.0,49
34.5,4,105.0,70.0,2150,14.9,40
20.8,6,200.0,85.0,3070,16.7,41
17.0,8,302.0,140.0,3449,10.5,49
21.0,6,231.0,110.0,3039,15.0,44
20.0,4,114.0,91.0,2582,14.0,46
25.0,6,181.0,110.0,2945,16.4,37
14.0,8,304.0,150.0,3672,11.5,46
14.0,8,400.0,175.0,4464,11.5,48
36.4,5,121.0,67.0,2950,19.9,39
18.0,6,225.0,105.0,3121,16.5,46
19.0,6,232.0,100.0,2634,13.0,48
20.2,8,302.0,139.0,3570,12.8,41
15.5,8,400.0,190.0,4325,12.2,42
13.0,8,350.0,165.0,4274,12.0,47
15.0,8,350.0,145.0,4440,14.0,44
28.0,4,116.0,90.0,2123,14.0,48
18.0,6,250.0,88.0,3021,16.5,46
31.0,4,79.0,67.0,2000,16.0,45
36.0,4,107.0,75.0,2205,14.5,37
21.6,4,121.0,115.0,2795,15.7,41
23.0,4,140.0,83.0,2639,17.0,44
23.0,4,115.0,95.0,2694,15.0,44
30.7,6,145.0,76.0,3160,19.6,38
13.0,8,350.0,145.0,4055,12.0,43
22.0,4,121.0,98.0,2945,14.5,44
11.0,8,318.0,210.0,4382,13.5,49
25.4,5,183.0,77.0,3530,20.1,40
27.0,4,97.0,88.0,2100,16.5,47
17.5,8,305.0,145.0,3880,12.5,42
14.0,8,318.0,150.0,4457,13.5,45
37.0,4,119.0,92.0,2434,15.0,39
32.0,4,135.0,84.0,2295,11.6,37
33.7,4,107.0,75.0,2210,14.4,38
35.0,4,72.0,69.0,1613,18.0,48
22.5,6,232.0,90.0,3085,17.6,43
31.6,4,120.0,74.0,2635,18.3,38
26.5,4,140.0,72.0,2565,13.6,43
19.0,4,121.0,112.0,2868,15.5,46
32.0,4,91.0,67.0,1965,15.7,37
23.0,4,120.0,97.0,2506,14.5,47
22.0,4,108.0,94.0,2379,16.5,46
26.0,4,116.0,75.0,2246,14.0,45
16.0,6,250.0,100.0,3278,18.0,46
20.0,6,232.0,100.0,2914,16.0,44
15.0,8,350.0,165.0,3693,11.5,49
22.0,6,225.0,100.0,3233,15.4,43
29.9,4,98.0,65.0,2380,20.7,38
32.4,4,107.0,72.0,2290,17.0,39
16.0,6,258.0,110.0,3632,18.0,45
29.0,4,97.0,78.0,1940,14.5,42
16.0,6,225.0,105.0,3439,15.5,48
20.0,6,225.0,100.0,3651,17.7,43
30.0,4,97.0,67.0,1985,16.4,42
13.0,8,302.0,129.0,3169,12.0,44
17.0,8,304.0,150.0,3672,11.5,47
19.8,6,200.0,85.0,2990,18.2,40
23.0,6,198.0,95.0,2904,16.0,46
27.0,4,97.0,88.0,2130,14.5,48
19.1,6,225.0,90.0,3381,18.7,39
36.1,4,98.0,66.0,1800,14.4,41
16.9,8,350.0,155.0,4360,14.9,40
26.4,4,140.0,88.0,2870,18.1,39
14.0,8,455.0,225.0,4425,10.0,49
27.0,4,112.0,88.0,2640,18.6,37
26.0,4,97.0,78.0,2300,14.5,45
35.1,4,81.0,60.0,1760,16.1,38
39.1,4,79.0,58.0,1755,16.9,38
26.6,8,350.0,105.0,3725,19.0,38
10.0,8,360.0,215.0,4615,14.0,49
21.0,4,140.0,72.0,2401,19.5,46
17.0,6,231.0,110.0,3907,21.0,44
30.5,4,98.0,63.0,2051,17.0,42
24.0,4,116.0,75.0,2158,15.5,46
29.8,4,134.0,90.0,2711,15.5,39
21.5,4,121.0,110.0,2600,12.8,42
17.5,6,250.0,110.0,3520,16.4,42
24.0,4,113.0,95.0,2372,15.0,49
18.2,8,318.0,135.0,3830,15.2,40
27.5,4,134.0,95.0,2560,14.2,41
18.0,6,250.0,78.0,3574,21.0,43
9.0,8,304.0,193.0,4732,18.5,49
28.0,4,97.0,92.0,2288,17.0,47
38.0,4,91.0,67.0,1965,15.0,37
27.2,4,135.0,84.0,2490,15.7,38
33.5,4,98.0,83.0,2075,15.9,42
29.8,4,89.0,62.0,1845,15.3,39
37.2,4,86.0,65.0,2019,16.4,39
11.0,8,350.0,180.0,3664,11.0,46
28.0,4,98.0,80.0,2164,15.0,47
36.0,4,98.0,70.0,2125,17.3,37
37.0,4,91.0,68.0,2025,18.2,37
15.0,6,250.0,100.0,3336,17.0,45
36.0,4,135.0,84.0,2370,13.0,37
31.0,4,119.0,82.0,2720,19.4,37
41.5,4,98.0,76.0,2144,14.7,39
29.0,4,98.0,83.0,2219,16.5,45
33.8,4,97.0,67.0,2145,18.0,39
12.0,8,350.0,180.0,4499,12.5,46
26.0,4,121.0,113.0,2234,12.5,49
21.5,3,80.0,110.0,2720,13.5,42
16.0,8,351.0,149.0,4335,14.5,42
15.0,8,400.0,150.0,3761,9.5,49
24.3,4,151.0,90.0,3003,20.1,39
20.0,4,97.0,88.0,2279,19.0,46
18.5,6,250.0,110.0,3645,16.2,43
23.7,3,70.0,100.0,2420,12.5,39
19.0,6,250.0,100.0,3282,15.0,48
20.5,6,225.0,100.0,3430,17.2,41
22.0,6,198.0,95.0,2833,15.5,49
25.4,6,168.0,116.0,2900,12.6,38
36.0,4,105.0,74.0,1980,15.3,37
31.0,4,112.0,85.0,2575,16.2,37
44.0,4,97.0,52.0,2130,24.6,37
20.5,6,200.0,95.0,3155,18.2,41
22.0,6,250.0,105.0,3353,14.5,43
26.0,4,96.0,69.0,2189,18.0,47
23.0,8,350.0,125.0,3900,17.4,40
44.6,4,91.0,67.0,1850,13.8,39
